2026-07-14 13:00:34.369 INFO: ===========VERIFYING SETTINGS===========
2026-07-14 13:00:34.370 INFO: MACE version: 0.3.16
2026-07-14 13:00:34.449 INFO: CUDA version: 11.8, CUDA device: 0
2026-07-14 13:00:35.243 INFO: Using foundation model /home/sgarg/.cache/mace/MACE-OFF23_medium.model as initial checkpoint.
2026-07-14 13:00:35.245 INFO: ===========LOADING INPUT DATA===========
2026-07-14 13:00:35.246 INFO: Using heads: ['Default']
2026-07-14 13:00:35.246 INFO: Using the key specifications to parse data:
2026-07-14 13:00:35.246 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2026-07-14 13:00:35.246 INFO: =============    Processing head Default     ===========
2026-07-14 13:00:35.430 INFO: Training set 1/1 [energy: 259, stress: 0, virials: 0, dipole components: 0, head: 259, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 259, charges: 0]
2026-07-14 13:00:35.431 INFO: Total Training set [energy: 259, stress: 0, virials: 0, dipole components: 0, head: 259, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 259, charges: 0]
2026-07-14 13:00:35.471 INFO: Validation set 1/1 [energy: 45, stress: 0, virials: 0, dipole components: 0, head: 45, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 45, charges: 0]
2026-07-14 13:00:35.471 INFO: Total Validation set [energy: 45, stress: 0, virials: 0, dipole components: 0, head: 45, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 45, charges: 0]
2026-07-14 13:00:35.471 INFO: Total number of configurations: train=259, valid=45, tests=[],
2026-07-14 13:00:35.475 INFO: Atomic Numbers used: [np.int64(1), np.int64(6)]
2026-07-14 13:00:35.475 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2026-07-14 13:00:35.475 INFO: Computing average Atomic Energies using least squares regression
2026-07-14 13:00:35.495 INFO: Atomic Energies used (z: eV) for head Default: {1: -30.35471541527474, 6: -47.700267081146045}
2026-07-14 13:00:35.495 INFO: Processing datasets for head 'Default'
2026-07-14 13:00:35.857 INFO: Combining 1 list datasets for head 'Default'
2026-07-14 13:00:35.919 INFO: Combining 1 list datasets for head 'Default_valid'
2026-07-14 13:00:35.919 INFO: Combined validation datasets for Default
2026-07-14 13:00:35.919 INFO: Head 'Default' training dataset size: 259
2026-07-14 13:00:35.919 INFO: Computing average number of neighbors
2026-07-14 13:00:36.104 INFO: Average number of neighbors: 22.66851043701172
2026-07-14 13:00:36.104 INFO: During training the following quantities will be reported: energy, forces
2026-07-14 13:00:36.104 INFO: ===========MODEL DETAILS===========
2026-07-14 13:00:36.337 INFO: Loading FOUNDATION model
2026-07-14 13:00:36.339 INFO: Using filtered elements: [np.int64(1), np.int64(6)]
2026-07-14 13:00:36.339 INFO: Model configuration extracted from foundation model
2026-07-14 13:00:36.339 INFO: Using weighted loss function for fine-tuning
2026-07-14 13:00:36.339 INFO: Message passing with hidden irreps 128x0e+128x1o)
2026-07-14 13:00:36.339 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2026-07-14 13:00:36.339 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2026-07-14 13:00:36.339 INFO: Distance transform for radial basis functions: None
2026-07-14 13:00:38.077 INFO: ===========OPTIMIZER INFORMATION===========
2026-07-14 13:00:38.077 INFO: Using ADAM as parameter optimizer
2026-07-14 13:00:38.077 INFO: Batch size: 8
2026-07-14 13:00:38.077 INFO: Number of gradient updates: 3237
2026-07-14 13:00:38.077 INFO: Learning rate: 0.0005, weight decay: 5e-07
2026-07-14 13:00:38.078 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2026-07-14 13:00:38.078 INFO: === Layer's learning rates ===
2026-07-14 13:00:38.079 INFO: Param group 0: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Param group 1: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Param group 2: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Param group 3: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Param group 4: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Using gradient clipping with tolerance=10.000
2026-07-14 13:00:38.079 INFO: 
2026-07-14 13:00:38.079 INFO: ===========TRAINING===========
2026-07-14 13:00:38.079 INFO: Started training, reporting errors on validation set
2026-07-14 13:00:38.079 INFO: Loss metrics on validation set
2026-07-14 13:00:47.798 INFO: Initial: head: Default, loss=4.37033749, RMSE_E_per_atom= 5396.95 meV, RMSE_F=  323.52 meV / A
2026-07-14 13:07:23.989 INFO: Epoch 31: head: Default, loss=0.02002035, RMSE_E_per_atom=   28.03 meV, RMSE_F=   43.68 meV / A
2026-07-14 13:07:35.608 INFO: Epoch 32: head: Default, loss=0.01768916, RMSE_E_per_atom=   32.54 meV, RMSE_F=   40.95 meV / A
2026-07-14 13:07:47.718 INFO: Epoch 33: head: Default, loss=0.01693745, RMSE_E_per_atom=   30.45 meV, RMSE_F=   40.04 meV / A
2026-07-14 13:07:59.815 INFO: Epoch 34: head: Default, loss=0.01672162, RMSE_E_per_atom=   33.79 meV, RMSE_F=   39.83 meV / A
2026-07-14 13:08:12.013 INFO: Epoch 35: head: Default, loss=0.01667395, RMSE_E_per_atom=   30.18 meV, RMSE_F=   39.72 meV / A
2026-07-14 13:08:24.400 INFO: Epoch 36: head: Default, loss=0.01546041, RMSE_E_per_atom=   20.35 meV, RMSE_F=   38.38 meV / A
2026-07-14 13:08:36.522 INFO: Epoch 37: head: Default, loss=0.01534973, RMSE_E_per_atom=   26.03 meV, RMSE_F=   38.16 meV / A
2026-07-14 13:08:48.697 INFO: Epoch 38: head: Default, loss=0.01520413, RMSE_E_per_atom=   23.18 meV, RMSE_F=   38.02 meV / A
2026-07-14 13:09:01.011 INFO: Epoch 39: head: Default, loss=0.01486111, RMSE_E_per_atom=   26.08 meV, RMSE_F=   37.54 meV / A
2026-07-14 13:09:13.135 INFO: Epoch 40: head: Default, loss=0.01551897, RMSE_E_per_atom=   22.56 meV, RMSE_F=   38.34 meV / A
2026-07-14 13:09:24.802 INFO: Epoch 41: head: Default, loss=0.01365679, RMSE_E_per_atom=   22.99 meV, RMSE_F=   36.02 meV / A
2026-07-14 13:09:36.985 INFO: Epoch 42: head: Default, loss=0.01457057, RMSE_E_per_atom=   17.58 meV, RMSE_F=   37.22 meV / A
2026-07-14 13:09:48.595 INFO: Epoch 43: head: Default, loss=0.01307193, RMSE_E_per_atom=   22.67 meV, RMSE_F=   35.23 meV / A
2026-07-14 13:10:00.777 INFO: Epoch 44: head: Default, loss=0.01513780, RMSE_E_per_atom=   19.78 meV, RMSE_F=   37.84 meV / A
2026-07-14 13:10:12.369 INFO: Epoch 45: head: Default, loss=0.01280139, RMSE_E_per_atom=   19.92 meV, RMSE_F=   34.87 meV / A
2026-07-14 13:10:24.380 INFO: Epoch 46: head: Default, loss=0.01249246, RMSE_E_per_atom=   24.72 meV, RMSE_F=   34.47 meV / A
2026-07-14 13:10:36.332 INFO: Epoch 47: head: Default, loss=0.01237274, RMSE_E_per_atom=   20.93 meV, RMSE_F=   34.33 meV / A
2026-07-14 13:10:48.368 INFO: Epoch 48: head: Default, loss=0.01231270, RMSE_E_per_atom=   19.46 meV, RMSE_F=   34.26 meV / A
2026-07-14 13:11:00.257 INFO: Epoch 49: head: Default, loss=0.01235716, RMSE_E_per_atom=   19.66 meV, RMSE_F=   34.28 meV / A
2026-07-14 13:11:11.721 INFO: Epoch 50: head: Default, loss=0.01152435, RMSE_E_per_atom=   19.10 meV, RMSE_F=   33.14 meV / A
2026-07-14 13:11:23.979 INFO: Epoch 51: head: Default, loss=0.01129737, RMSE_E_per_atom=   16.14 meV, RMSE_F=   32.81 meV / A
2026-07-14 13:11:36.191 INFO: Epoch 52: head: Default, loss=0.01175912, RMSE_E_per_atom=   17.36 meV, RMSE_F=   33.39 meV / A
2026-07-14 13:11:47.806 INFO: Epoch 53: head: Default, loss=0.01096843, RMSE_E_per_atom=   16.57 meV, RMSE_F=   32.37 meV / A
2026-07-14 13:12:00.016 INFO: Epoch 54: head: Default, loss=0.01144482, RMSE_E_per_atom=   15.54 meV, RMSE_F=   33.01 meV / A
2026-07-14 13:12:11.741 INFO: Epoch 55: head: Default, loss=0.01068782, RMSE_E_per_atom=   14.42 meV, RMSE_F=   31.93 meV / A
2026-07-14 13:12:23.958 INFO: Epoch 56: head: Default, loss=0.01034052, RMSE_E_per_atom=   13.34 meV, RMSE_F=   31.43 meV / A
2026-07-14 13:12:35.943 INFO: Epoch 57: head: Default, loss=0.01060549, RMSE_E_per_atom=   15.77 meV, RMSE_F=   31.79 meV / A
2026-07-14 13:12:47.530 INFO: Epoch 58: head: Default, loss=0.01037087, RMSE_E_per_atom=   13.11 meV, RMSE_F=   31.44 meV / A
2026-07-14 13:12:59.142 INFO: Epoch 59: head: Default, loss=0.01171857, RMSE_E_per_atom=   15.66 meV, RMSE_F=   33.21 meV / A
2026-07-14 13:13:10.643 INFO: Epoch 60: head: Default, loss=0.01013292, RMSE_E_per_atom=   11.87 meV, RMSE_F=   31.04 meV / A
2026-07-14 13:13:22.844 INFO: Epoch 61: head: Default, loss=0.00988424, RMSE_E_per_atom=   16.85 meV, RMSE_F=   30.74 meV / A
2026-07-14 13:13:34.823 INFO: Epoch 62: head: Default, loss=0.00981106, RMSE_E_per_atom=   14.98 meV, RMSE_F=   30.54 meV / A
2026-07-14 13:13:46.821 INFO: Epoch 63: head: Default, loss=0.00991007, RMSE_E_per_atom=   11.38 meV, RMSE_F=   30.71 meV / A
2026-07-14 13:13:58.557 INFO: Epoch 64: head: Default, loss=0.01116554, RMSE_E_per_atom=   15.61 meV, RMSE_F=   32.64 meV / A
2026-07-14 13:14:10.185 INFO: Epoch 65: head: Default, loss=0.00948619, RMSE_E_per_atom=    9.91 meV, RMSE_F=   30.03 meV / A
2026-07-14 13:14:22.218 INFO: Epoch 66: head: Default, loss=0.00919887, RMSE_E_per_atom=    6.42 meV, RMSE_F=   29.64 meV / A
2026-07-14 13:14:34.205 INFO: Epoch 67: head: Default, loss=0.00904356, RMSE_E_per_atom=   11.03 meV, RMSE_F=   29.42 meV / A
2026-07-14 13:14:46.279 INFO: Epoch 68: head: Default, loss=0.00942443, RMSE_E_per_atom=   11.57 meV, RMSE_F=   29.98 meV / A
2026-07-14 13:14:57.972 INFO: Epoch 69: head: Default, loss=0.00940722, RMSE_E_per_atom=   14.55 meV, RMSE_F=   29.85 meV / A
2026-07-14 13:15:09.600 INFO: Epoch 70: head: Default, loss=0.00890129, RMSE_E_per_atom=   10.28 meV, RMSE_F=   29.08 meV / A
2026-07-14 13:15:21.642 INFO: Epoch 71: head: Default, loss=0.00844160, RMSE_E_per_atom=    9.04 meV, RMSE_F=   28.38 meV / A
2026-07-14 13:15:33.784 INFO: Epoch 72: head: Default, loss=0.00868758, RMSE_E_per_atom=    8.75 meV, RMSE_F=   28.83 meV / A
2026-07-14 13:15:45.270 INFO: Epoch 73: head: Default, loss=0.00881088, RMSE_E_per_atom=    9.60 meV, RMSE_F=   29.00 meV / A
2026-07-14 13:15:56.953 INFO: Epoch 74: head: Default, loss=0.00860009, RMSE_E_per_atom=    9.03 meV, RMSE_F=   28.63 meV / A
2026-07-14 13:16:08.556 INFO: Epoch 75: head: Default, loss=0.00846718, RMSE_E_per_atom=   13.48 meV, RMSE_F=   28.44 meV / A
2026-07-14 13:16:20.027 INFO: Epoch 76: head: Default, loss=0.00828482, RMSE_E_per_atom=    9.93 meV, RMSE_F=   28.15 meV / A
2026-07-14 13:16:31.940 INFO: Epoch 77: head: Default, loss=0.00821628, RMSE_E_per_atom=    9.60 meV, RMSE_F=   28.04 meV / A
2026-07-14 13:16:44.197 INFO: Epoch 78: head: Default, loss=0.00814372, RMSE_E_per_atom=    7.44 meV, RMSE_F=   27.95 meV / A
2026-07-14 13:16:56.428 INFO: Epoch 79: head: Default, loss=0.00803464, RMSE_E_per_atom=   13.54 meV, RMSE_F=   27.66 meV / A
2026-07-14 13:17:08.432 INFO: Epoch 80: head: Default, loss=0.00838033, RMSE_E_per_atom=    8.71 meV, RMSE_F=   28.32 meV / A
2026-07-14 13:17:19.978 INFO: Epoch 81: head: Default, loss=0.00793757, RMSE_E_per_atom=    9.41 meV, RMSE_F=   27.52 meV / A
2026-07-14 13:17:31.988 INFO: Epoch 82: head: Default, loss=0.00773672, RMSE_E_per_atom=   10.51 meV, RMSE_F=   27.16 meV / A
2026-07-14 13:17:44.130 INFO: Epoch 83: head: Default, loss=0.00783024, RMSE_E_per_atom=   12.31 meV, RMSE_F=   27.32 meV / A
2026-07-14 13:17:55.722 INFO: Epoch 84: head: Default, loss=0.00758368, RMSE_E_per_atom=    9.96 meV, RMSE_F=   26.92 meV / A
2026-07-14 13:18:07.754 INFO: Epoch 85: head: Default, loss=0.00831072, RMSE_E_per_atom=   11.80 meV, RMSE_F=   28.13 meV / A
2026-07-14 13:18:19.351 INFO: Epoch 86: head: Default, loss=0.00771202, RMSE_E_per_atom=   11.58 meV, RMSE_F=   27.15 meV / A
2026-07-14 13:18:30.980 INFO: Epoch 87: head: Default, loss=0.00736328, RMSE_E_per_atom=    7.87 meV, RMSE_F=   26.48 meV / A
2026-07-14 13:18:43.159 INFO: Epoch 88: head: Default, loss=0.00749395, RMSE_E_per_atom=   10.34 meV, RMSE_F=   26.78 meV / A
2026-07-14 13:18:54.665 INFO: Epoch 89: head: Default, loss=0.00719174, RMSE_E_per_atom=    6.10 meV, RMSE_F=   26.25 meV / A
2026-07-14 13:19:06.882 INFO: Epoch 90: head: Default, loss=0.00782917, RMSE_E_per_atom=    7.94 meV, RMSE_F=   27.23 meV / A
2026-07-14 13:19:18.481 INFO: Epoch 91: head: Default, loss=0.00708750, RMSE_E_per_atom=    6.85 meV, RMSE_F=   26.07 meV / A
2026-07-14 13:19:30.465 INFO: Epoch 92: head: Default, loss=0.00708352, RMSE_E_per_atom=    7.22 meV, RMSE_F=   26.04 meV / A
2026-07-14 13:19:42.721 INFO: Epoch 93: head: Default, loss=0.00731631, RMSE_E_per_atom=    9.08 meV, RMSE_F=   26.52 meV / A
2026-07-14 13:19:54.271 INFO: Epoch 94: head: Default, loss=0.00737809, RMSE_E_per_atom=    6.31 meV, RMSE_F=   26.57 meV / A
2026-07-14 13:20:05.863 INFO: Epoch 95: head: Default, loss=0.00700723, RMSE_E_per_atom=    7.84 meV, RMSE_F=   25.90 meV / A
2026-07-14 13:20:17.887 INFO: Epoch 96: head: Default, loss=0.00698684, RMSE_E_per_atom=    7.89 meV, RMSE_F=   25.90 meV / A
2026-07-14 13:20:29.771 INFO: Epoch 97: head: Default, loss=0.00700665, RMSE_E_per_atom=    8.96 meV, RMSE_F=   25.88 meV / A
2026-07-14 13:20:41.247 INFO: Epoch 98: head: Default, loss=0.00737846, RMSE_E_per_atom=    8.28 meV, RMSE_F=   26.66 meV / A
2026-07-14 13:20:53.024 INFO: Epoch 99: head: Default, loss=0.00738687, RMSE_E_per_atom=    6.91 meV, RMSE_F=   26.49 meV / A
2026-07-14 13:20:53.024 INFO: Training complete
2026-07-14 13:20:53.024 INFO: 
2026-07-14 13:20:53.024 INFO: ===========RESULTS===========
2026-07-14 13:20:53.026 INFO: Loading checkpoint: /home/sgarg/git-repo/pentacene-gb-active-learning/output/models/finetune_v1_seed123/checkpoints/pentacene_finetune_v1_run-123_epoch-96.pt
2026-07-14 13:20:53.066 INFO: Loaded Stage one model from epoch 96 for evaluation
2026-07-14 13:20:53.066 INFO: Saving model to /home/sgarg/git-repo/pentacene-gb-active-learning/output/models/finetune_v1_seed123/checkpoints/pentacene_finetune_v1_run-123.model
2026-07-14 13:20:53.715 INFO: Compiling model, saving metadata to /home/sgarg/git-repo/pentacene-gb-active-learning/output/models/finetune_v1_seed123/pentacene_finetune_v1_compiled.model
2026-07-14 13:20:54.954 INFO: Computing metrics for training, validation, and test sets
2026-07-14 13:20:54.955 INFO: Skipping evaluation for heads: ['pt_head']
2026-07-14 13:20:54.956 INFO: Evaluating train_Default ...
2026-07-14 13:20:59.757 INFO: Evaluating valid_Default ...
2026-07-14 13:21:00.658 INFO: Error-table on TRAIN and VALID:
+---------------+---------------------+------------------+-------------------+
|  config_type  | RMSE E / meV / atom | RMSE F / meV / A | relative F RMSE % |
+---------------+---------------------+------------------+-------------------+
| train_Default |            7.9      |         23.2     |          1.43     |
| valid_Default |            7.9      |         25.9     |          1.72     |
+---------------+---------------------+------------------+-------------------+
2026-07-14 13:21:08.694 INFO: Done
